stock_id,sector,business_model,geographic_focus,business_maturity,competitive_position,market_cap_category,revenue_tier,profitability_profile,asset_intensity,financial_strength
US078,Real_Estate,B2B,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Developing
US079,Industrials,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US080,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Stable
US081,Consumer_Discretionary,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Developing
US082,Real_Estate,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US083,Consumer_Staples,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US084,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US085,Healthcare,B2C,International,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US086,Consumer_Discretionary,B2C,International,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US087,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US088,Industrials,B2B,Global,Mature,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US089,Industrials,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US090,Finance,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US091,Real_Estate,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US092,Technology,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US093,Healthcare,B2C,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US094,Healthcare,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US095,Utilities,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US096,Materials,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US097,Healthcare,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US098,Finance,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US099,Communication,B2B,International,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US100,Energy,B2B,Global,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US101,Consumer_Discretionary,B2C,International,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Stable
US102,Finance,B2C,International,Cyclical,Market_Leader,Large,Tier_1,Standard,Moderate,Stable
US103,Consumer_Staples,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US104,Healthcare,B2C,International,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US105,Finance,B2C,International,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US106,Industrials,B2B,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US107,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US108,Finance,B2C,Global,Growth,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US109,Finance,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US110,Consumer_Staples,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US111,Finance,B2C,International,Mature,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US112,Utilities,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US113,Consumer_Staples,B2C,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US114,Technology,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Stable
US115,Finance,B2C,International,Cyclical,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Stable
US116,Consumer_Staples,B2C,International,Mature,Strong_Player,Large,Tier_1,Low_Margin,Asset_Light,Stable
US117,Communication,B2B,International,Growth,Market_Leader,Large,Tier_1,Low_Margin,Moderate,Strong
US118,Consumer_Staples,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Developing
US119,Energy,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Developing
US120,Utilities,B2B,International,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US121,Consumer_Staples,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US122,Utilities,B2B,Global,Cyclical,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US123,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US124,Industrials,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US125,Technology,B2B,Global,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US126,Technology,Platform,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US127,Materials,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US128,Real_Estate,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US129,Consumer_Staples,B2C,International,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US130,Energy,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US131,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US132,Real_Estate,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US133,Industrials,B2B,International,Growth,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US134,Industrials,B2B,Domestic,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US135,Healthcare,B2C,Domestic,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Developing
US136,Healthcare,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US137,Consumer_Discretionary,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US138,Technology,Platform,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US139,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US140,Technology,Platform,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US141,Consumer_Discretionary,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US142,Industrials,B2B,International,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US143,Technology,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US144,Industrials,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US145,Energy,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Developing
US146,Healthcare,B2C,Global,Growth,Market_Leader,Mid,Tier_2,High_Margin,Moderate,Stable
US147,Energy,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US148,Real_Estate,B2C,Global,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Strong
US149,Consumer_Staples,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US150,Consumer_Staples,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US151,Utilities,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Stable
US152,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Asset_Light,Stable
US153,Consumer_Discretionary,Platform,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US154,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US155,Materials,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Developing
US156,Consumer_Discretionary,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US157,Utilities,B2C,Domestic,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US158,Utilities,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US159,Materials,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US160,Materials,B2B,Domestic,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Developing
US161,Industrials,B2B,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US162,Consumer_Discretionary,Platform,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US163,Materials,B2C,Global,Growth,Strong_Player,Large,Tier_1,Low_Margin,Asset_Light,Stable
US164,Utilities,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US165,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US166,Communication,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US167,Healthcare,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US168,Industrials,B2B,International,Growth,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Stable
US169,Technology,B2B,International,Growth,Market_Leader,Mid,Tier_2,High_Margin,Asset_Light,Stable
US170,Utilities,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US171,Energy,B2C,Global,Mature,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US172,Technology,B2B,International,Growth,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Developing
US173,Energy,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US174,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US175,Real_Estate,B2C,Global,Mature,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Stable
US176,Real_Estate,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Developing
US177,Finance,B2C,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US178,Real_Estate,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US179,Consumer_Staples,B2C,International,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US180,Finance,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US181,Utilities,B2C,International,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US182,Utilities,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US183,Utilities,B2B,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US184,Energy,B2B,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US185,Consumer_Discretionary,B2C,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US186,Industrials,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US187,Real_Estate,B2C,International,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US188,Energy,B2B,International,Mature,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Developing
US189,Technology,Platform,International,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Strong
US190,Finance,B2C,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Stable
US191,Technology,Platform,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US192,Industrials,B2B,International,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US193,Real_Estate,B2B,International,Cyclical,Market_Leader,Mid,Tier_2,High_Margin,Moderate,Developing
US194,Industrials,B2B,Global,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Developing
US195,Technology,B2B,International,Growth,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US196,Finance,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US197,Technology,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US198,Utilities,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Stable
US199,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Stable
US200,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US201,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US202,Technology,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Developing
US203,Communication,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US204,Communication,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Moderate,Developing
US205,Finance,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US206,Materials,B2B,Global,Growth,Niche_Specialist,Large,Tier_1,Standard,Moderate,Strong
US207,Technology,B2B,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US208,Technology,B2B,Global,Mature,Niche_Specialist,Mid,Tier_2,Standard,Moderate,Strong
US209,Industrials,B2B,Global,Growth,Niche_Specialist,Large,Tier_1,Standard,Capital_Intensive,Strong
US210,Healthcare,B2C,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US211,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US212,Industrials,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US213,Industrials,B2B,Global,Cyclical,Niche_Specialist,Large,Tier_1,High_Margin,Capital_Intensive,Developing
US214,Consumer_Staples,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Developing
US215,Consumer_Discretionary,B2C,International,Mature,Niche_Specialist,Large,Tier_1,Standard,Moderate,Stable
US216,Consumer_Discretionary,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US217,Healthcare,B2B,Global,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US218,Industrials,B2B,Domestic,Mature,Niche_Specialist,Mid,Tier_2,Standard,Moderate,Strong
US219,Finance,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US220,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US221,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US222,Energy,B2B,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US223,Finance,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Moderate,Developing
US224,Consumer_Discretionary,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,Standard,Moderate,Stable
US225,Healthcare,B2C,Domestic,Growth,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Stable
US226,Real_Estate,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US227,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Developing
US228,Consumer_Staples,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,Standard,Capital_Intensive,Strong
US229,Technology,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US230,Consumer_Discretionary,B2C,Domestic,Mature,Niche_Specialist,Large,Tier_1,Standard,Capital_Intensive,Stable
US231,Healthcare,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Capital_Intensive,Stable
US232,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US233,Industrials,B2B,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US234,Consumer_Staples,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US235,Real_Estate,B2C,Domestic,Mature,Niche_Specialist,Mid,Tier_2,Low_Margin,Asset_Light,Stable
US236,Industrials,B2B,Global,Growth,Niche_Specialist,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US237,Technology,B2B,Global,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Asset_Light,Strong
US238,Industrials,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US239,Healthcare,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Moderate,Developing
US240,Finance,B2C,Global,Cyclical,Niche_Specialist,Mid,Tier_2,High_Margin,Capital_Intensive,Developing
US241,Industrials,B2B,International,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US242,Technology,B2B,International,Growth,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US243,Industrials,B2B,Domestic,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US244,Healthcare,B2C,International,Mature,Niche_Specialist,Large,Tier_1,Standard,Moderate,Stable
US245,Industrials,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US246,Healthcare,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US247,Industrials,B2B,International,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US248,Healthcare,B2C,Domestic,Mature,Niche_Specialist,Mid,Tier_2,High_Margin,Moderate,Stable
US249,Technology,B2B,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US250,Finance,B2C,International,Growth,Niche_Specialist,Large,Tier_1,Low_Margin,Moderate,Strong
US251,Materials,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US252,Consumer_Discretionary,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US253,Communication,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Developing
US254,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US255,Healthcare,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US256,Finance,B2C,Domestic,Growth,Niche_Specialist,Mid,Tier_2,Standard,Moderate,Stable
US257,Real_Estate,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US258,Healthcare,B2C,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US259,Real_Estate,B2B,Global,Cyclical,Niche_Specialist,Mid,Tier_2,Low_Margin,Moderate,Strong
US260,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US261,Technology,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US262,Technology,B2B,Global,Growth,Niche_Specialist,Mid,Tier_2,Standard,Asset_Light,Stable
US263,Industrials,B2B,Global,Mature,Niche_Specialist,Mid,Tier_2,Standard,Moderate,Strong
